State,Place Name,Rating,Description,Website,Location Link,Food Recommendation Nearby,Accommodation Nearby,Address,Phone Number,Number,Category,Picture Link
Johor,Putuo Village,4.4,Buddhism,https://putuovillage.com.my/,https://g.page/putuovillage?share,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:168",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"1488, Jalan Kampung, Off, Jalan Kota Tinggi - Kluang, Felda Taib Andak, 81000 Kulai, Johor",+6072133398,72133398,Art and Culture,https://live.staticflickr.com/65535/52092054792_20673ef27b_c.jpg
Johor,Kwong Siew Heritage Gallery Johor Bahru,4.5,Museum,http://bit.ly/jbkwongsiew,https://g.page/JBKwongSiewHeritageGallery?share,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:117",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"24, Jalan Siu Nam, 80000 Johor Bahru, Johor",+6072233682,72233682,Art and Culture,http://4.bp.blogspot.com/-8Ev22GN-sNQ/UROerEa9oII/AAAAAAAAEs4/-f8A1a9ipXQ/s320/Peggy+001.jpg
Johor,Kwong Siew Heritage Gallery Johor Bahru,4.5,Museum,http://bit.ly/jbkwongsiew,https://g.page/JBKwongSiewHeritageGallery?share,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:118",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"24, Jalan Siu Nam, 80000 Johor Bahru, Johor",+6072233682,72233682,History,http://4.bp.blogspot.com/-8Ev22GN-sNQ/UROerEa9oII/AAAAAAAAEs4/-f8A1a9ipXQ/s320/Peggy+001.jpg
Johor,Sireh Park,4.3,Park and garden,http://www.facebook.com/sirehpark.official,https://goo.gl/maps/sxJkUBdoNnhSkU928,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:177",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"Jalan Nusa Idaman, Nusa Idaman, 79100 Nusajaya, Johor",+6072317881,72317881,Outdoor,https://img.astroawani.com/2022-04/41648855752_SirehParkIskandar.jpg
Johor,The Malay Cultural Village Sdn Bhd,3.9,Museum,https://www.malaycv.com/,https://goo.gl/maps/eUmcMehgFFzZ3wt56,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:205",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"33A, Jalan Petaling, Kawasan Perindustrian Larkin, 80350 Johor Bahru, Johor",+6072387377,72387377,Art and Culture,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/The_Malay_Cultural_Village.jpg/2560px-The_Malay_Cultural_Village.jpg
Johor,The Malay Cultural Village Sdn Bhd,3.9,Museum,https://www.malaycv.com/,https://goo.gl/maps/TbSkKGurQZrKiLvR8,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:206",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"33A, Jalan Petaling, Kawasan Perindustrian Larkin, 80350 Johor Bahru, Johor",+6072387377,72387377,History,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/The_Malay_Cultural_Village.jpg/2560px-The_Malay_Cultural_Village.jpg
Johor,Masjid Jamek Bandar Baru Uda,4.7,Mosque,https://www.facebook.com/mjbbUDA/,https://goo.gl/maps/dnhraSTxmakAmRAv8,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:129",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"Masjid Jamek, Jalan Padi Ria, Bandar Baru Uda, 81200 Johor Bahru, Johor",+6072388166,72388166,Art and Culture,https://itc.gov.my/wp-content/uploads/2021/04/Masjid-Jamek-Bandar-Baru-UDA-825x510.jpg
Johor,Muzium Layang-Layang Pasir Gudang,4.1,Museum,https://www.facebook.com/MuziumLayangLayangPasirGudang/,https://goo.gl/maps/bnxm4gfxNKiT1uUE7,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:140",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"Komplek Pusat Bandar, Pasir Gudang, 81700, Pasir Gudang, Johor, 81700",+6072527796,72527796,Art and Culture,https://lh5.googleusercontent.com/p/AF1QipPiXsF3AAW287lefzSfJO5yO7jZffya9xp92xYQ=w580-h325-n-k-no
Johor,Muzium Layang-Layang Pasir Gudang,4.1,Museum,https://www.facebook.com/MuziumLayangLayangPasirGudang/,https://goo.gl/maps/b9d7pJK4vjGA9Ay37,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:141",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"Komplek Pusat Bandar, Pasir Gudang, 81700, Pasir Gudang, Johor, 81700",+6072527796,72527796,History,https://lh5.googleusercontent.com/p/AF1QipPiXsF3AAW287lefzSfJO5yO7jZffya9xp92xYQ=w580-h325-n-k-no
Johor,"Taman Pertanian Johor, Kong Kong",4.3,Park and garden and garden,http://pertanian.johor.gov.my/,https://goo.gl/maps/C56iHzMhAk1hm6Zs6,"https://www.google.com/search?rlz=1C1GCEU_en&tbs=lf:1,lf_ui:9&tbm=lcl&q=food+in+johor&rflfq=1&num=10&sa=X&ved=2ahUKEwik2b65yuL7AhUq9DgGHShWBbYQjGp6BAgXEAE#rlfi=hd:;si:;mv:[[1.492696,103.78029079999999],[1.4547736000000002,103.73408529999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u1!2m2!1m1!1e1!1m4!1u1!2m2!1m1!1e2!2m1!1e2!2m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:193",https://www.google.com/travel/hotels?q=hotels%20in%20johor&gsas=1&rp=CgpYAGAAcgQIAhgAOAGAAgGoAgA&ved=0CAAQ8IAIahgKEwjov-6MyeL7AhUAAAAAHQAAAAAQnwI&hl=en-MY&gl=my&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4306835%2C4308226%2C4597339%2C4718358%2C4723331%2C4731329%2C4757164%2C4814050%2C4861688%2C4864715%2C4874190%2C4879519%2C4886082%2C4886480%2C4893075%2C4903082%2C4906050&utm_campaign=sharing&utm_medium=link&utm_source=htls,"Jalan Kong Kong, 81700 Masai, Johor",+6072666707,72666707,Art and Culture,http://4.bp.blogspot.com/-GsBpv5hnWNc/U5sKeY1RbkI/AAAAAAAAAQI/DMtXA-d_GfQ/s1600/IMG-20140507-WA0014.jpg
